ID,Season,Race,Overtakes,TV,Percentage
312,2002,Malaysia,27,7,25.93
313,2002,Brazil,31,11,35.48
314,2002,San Marino,6,3,50.0
315,2002,Spain,3,2,66.67
316,2002,Austria,20,4,20.0
317,2002,Monaco,10,4,40.0
318,2002,Canada,17,5,29.41
319,2002,Europe,25,4,16.0
320,2002,Great Britain,48,10,20.83
321,2002,France,2,0,0.0
322,2002,Germany,24,7,29.17
323,2002,Hungary,3,1,33.33
324,2002,Belgium,6,5,83.33
325,2002,Italy,16,5,31.25
326,2002,USA,19,7,36.84
327,2002,Japan,1,0,0.0
328,2002,Season,274,78,28.47
329,2003,Australia,49,14,28.57
330,2003,Malaysia,21,9,42.86
331,2003,Brazil,52,22,42.31
332,2003,San Marino,3,1,33.33
333,2003,Spain,22,9,40.91
334,2003,Austria,14,5,35.71
335,2003,Monaco,0,0,0.0
336,2003,Canada,9,3,33.33
337,2003,Europe,9,4,44.44
338,2003,France,10,3,30.0
339,2003,Great Britain,51,29,56.86
340,2003,Germany,11,8,72.73
341,2003,Hungary,28,13,46.43
342,2003,Italy,5,1,20.0
343,2003,USA,54,21,38.89
344,2003,Japan,19,4,21.05
345,2003,Season,357,146,40.9
346,2004,Australia,10,5,50.0
347,2004,Malaysia,25,9,36.0
348,2004,Bahrain,22,16,72.73
349,2004,San Marino,6,0,0.0
350,2004,Spain,7,4,57.14
351,2004,Monaco,5,2,40.0
352,2004,Europe,13,6,46.15
353,2004,Canada,19,2,10.53
354,2004,USA,19,10,52.63
355,2004,France,15,3,20.0
356,2004,Great Britain,15,10,66.67
357,2004,Germany,32,15,46.88
358,2004,Hungary,5,2,40.0
359,2004,Belgium,24,14,58.33
360,2004,Italy,48,13,27.08
361,2004,China,22,11,50.0
362,2004,Japan,30,11,36.67
363,2004,Brazil,58,12,20.69
364,2004,Season,375,145,38.67
365,2005,Australia,7,5,71.43
366,2005,Malaysia,12,11,91.67
367,2005,Bahrain,13,8,61.54
368,2005,San Marino,9,5,55.56
369,2005,Spain,4,2,50.0
370,2005,Monaco,16,8,50.0
371,2005,Europe,25,8,32.0
372,2005,Canada,11,2,18.18
373,2005,USA,0,0,0.0
374,2005,France,5,2,40.0
375,2005,Great Britain,8,4,50.0
376,2005,Germany,18,7,38.89
377,2005,Hungary,10,4,40.0
378,2005,Turkey,30,7,23.33
379,2005,Italy,7,3,42.86
380,2005,Belgium,33,7,21.21
381,2005,Brazil,6,4,66.67
382,2005,Japan,15,9,60.0
383,2005,China,17,5,29.41
384,2005,Season,246,101,41.06
385,2006,Bahrain,46,20,43.48
386,2006,Malaysia,16,7,43.75
387,2006,Australia,26,13,50.0
388,2006,San Marino,2,0,0.0
389,2006,Europe,10,3,30.0
390,2006,Spain,7,0,0.0
391,2006,Monaco,19,5,26.32
392,2006,Great Britain,5,1,20.0
393,2006,Canada,11,9,81.82
394,2006,USA,6,4,66.67
395,2006,France,5,4,80.0
396,2006,Germany,20,6,30.0
397,2006,Hungary,37,15,40.54
398,2006,Turkey,32,20,62.5
399,2006,Italy,13,2,15.38
400,2006,China,59,31,52.54
401,2006,Japan,11,2,18.18
402,2006,Brazil,20,12,60.0
403,2006,Season,345,154,44.64
404,2007,Australia,11,6,54.55
405,2007,Malaysia,12,6,50.0
406,2007,Bahrain,19,10,52.63
407,2007,Spain,5,2,40.0
408,2007,Monaco,2,1,50.0
409,2007,Canada,21,17,80.95
410,2007,USA,18,13,72.22
411,2007,France,9,6,66.67
412,2007,Great Britain,15,13,86.67
413,2007,Europe,82,33,40.24
414,2007,Hungary,5,3,60.0
415,2007,Turkey,15,3,20.0
416,2007,Italy,14,6,42.86
417,2007,Belgium,16,5,31.25
418,2007,Japan,62,22,35.48
419,2007,China,46,19,41.3
420,2007,Brazil,24,18,75.0
421,2007,Season,376,183,48.67
422,2008,Australia,15,11,73.33
423,2008,Malaysia,6,5,83.33
424,2008,Bahrain,15,9,60.0
425,2008,Spain,3,2,66.67
426,2008,Turkey,15,15,100.0
427,2008,Monaco,33,13,39.39
428,2008,Canada,24,18,75.0
429,2008,France,11,10,90.91
430,2008,Great Britain,47,29,61.7
431,2008,Germany,22,17,77.27
432,2008,Hungary,3,3,100.0
433,2008,Europe,4,2,50.0
434,2008,Belgium,40,19,47.5
435,2008,Italy,48,36,75.0
436,2008,Singapore,14,10,71.43
437,2008,Japan,25,12,48.0
438,2008,China,10,9,90.0
439,2008,Brazil,31,19,61.29
440,2008,Season,366,239,65.3
441,2009,Australia,32,18,56.25
442,2009,Malaysia,38,29,76.32
443,2009,China,65,22,33.85
444,2009,Bahrain,31,21,67.74
445,2009,Spain,3,3,100.0
446,2009,Monaco,8,6,75.0
447,2009,Turkey,13,9,69.23
448,2009,Great Britain,11,9,81.82
449,2009,Germany,18,9,50.0
450,2009,Hungary,7,7,100.0
451,2009,Europe,1,1,100.0
452,2009,Belgium,11,10,90.91
453,2009,Italy,10,8,80.0
454,2009,Singapore,4,3,75.0
455,2009,Japan,12,4,33.33
456,2009,Brazil,29,19,65.52
457,2009,Abu Dhabi,8,5,62.5
458,2009,Season,301,183,60.8
459,2010,Bahrain,27,17,62.96
460,2010,Australia,51,29,56.86
461,2010,Malaysia,26,15,57.69
462,2010,China,93,70,75.27
463,2010,Spain,11,9,81.82
464,2010,Monaco,6,5,83.33
465,2010,Turkey,29,13,44.83
466,2010,Canada,72,21,29.17
467,2010,Europe,17,9,52.94
468,2010,Great Britain,34,17,50.0
469,2010,Germany,16,4,25.0
470,2010,Hungary,9,4,44.44
471,2010,Belgium,71,22,30.99
472,2010,Italy,19,10,52.63
473,2010,Singapore,33,18,54.55
474,2010,Japan,10,9,90.0
475,2010,South Korea,39,18,46.15
476,2010,Brazil,36,17,47.22
477,2010,Abu Dhabi,16,6,37.5
478,2010,Season,615,313,50.89
479,2011,Australia,31,11,35.48
480,2011,Malaysia,65,33,50.77
481,2011,China,98,48,48.98
482,2011,Turkey,132,45,34.09
483,2011,Spain,94,25,26.6
484,2011,Monaco,28,10,35.71
485,2011,Canada,129,39,30.23
486,2011,Europe,48,19,39.58
487,2011,Great Britain,30,21,70.0
488,2011,Germany,53,21,39.62
489,2011,Hungary,75,29,38.67
490,2011,Belgium,99,43,43.43
491,2011,Italy,51,19,37.25
492,2011,Singapore,54,30,55.56
493,2011,Japan,80,18,22.5
494,2011,South Korea,55,27,49.09
495,2011,India,28,13,46.43
496,2011,Abu Dhabi,68,35,51.47
497,2011,Brazil,31,15,48.39
498,2011,Season,1249,501,40.11
499,2012,Australia,43,25,58.14
500,2012,Malaysia,83,28,33.73
501,2012,China,97,49,50.52
502,2012,Bahrain,81,43,53.09
503,2012,Spain,56,29,51.79
504,2012,Monaco,13,4,30.77
505,2012,Canada,48,18,37.5
506,2012,Europe,81,42,51.85
507,2012,Great Britain,49,25,51.02
508,2012,Germany,71,35,49.3
509,2012,Hungary,18,8,44.44
510,2012,Belgium,61,40,65.57
511,2012,Italy,66,36,54.55
512,2012,Singapore,64,21,32.81
513,2012,Japan,44,9,20.45
514,2012,South Korea,36,23,63.89
515,2012,India,35,18,51.43
516,2012,Abu Dhabi,56,27,48.21
517,2012,USA,69,39,56.52
518,2012,Brazil,158,62,39.24
519,2012,Season,1229,581,47.27
520,2013,Australia,59,21,35.59
521,2013,Malaysia,55,32,58.18
522,2013,China,84,44,52.38
523,2013,Bahrain,89,52,58.43
524,2013,Spain,74,31,41.89
525,2013,Monaco,17,7,41.18
526,2013,Canada,48,22,45.83
527,2013,Great Britain,92,46,50.0
528,2013,Germany,54,26,48.15
529,2013,Hungary,28,10,35.71
530,2013,Belgium,64,34,53.13
531,2013,Italy,28,18,64.29
532,2013,Singapore,39,21,53.85
533,2013,South Korea,69,33,47.83
534,2013,Japan,34,24,70.59
535,2013,India,57,31,54.39
536,2013,Abu Dhabi,47,36,76.6
537,2013,USA,23,17,73.91
538,2013,Brazil,68,29,42.65
539,2013,Season,1029,534,51.9
540,2014,Australia,30,13,43.33
541,2014,Malaysia,33,23,69.7
542,2014,Bahrain,74,47,63.51
543,2014,China,42,19,45.24
544,2014,Spain,43,22,51.16
545,2014,Monaco,10,8,80.0
546,2014,Canada,32,14,43.75
547,2014,Austria,43,16,37.21
548,2014,Great Britain,43,20,46.51
549,2014,Germany,92,55,59.78
550,2014,Hungary,52,17,32.69
551,2014,Belgium,62,32,51.61
552,2014,Italy,45,26,57.78
553,2014,Singapore,52,23,44.23
554,2014,Japan,37,13,35.14
555,2014,Russia,44,18,40.91
556,2014,USA,40,32,80.0
557,2014,Brazil,41,25,60.98
558,2014,Abu Dhabi,56,27,48.21
559,2014,Season,871,450,51.66
560,2015,Australia,11,8,72.73
561,2015,Malaysia,74,53,71.62
562,2015,China,32,25,78.13
563,2015,Bahrain,45,24,53.33
564,2015,Spain,30,18,60.0
565,2015,Monaco,10,3,30.0
566,2015,Canada,38,27,71.05
567,2015,Austria,21,15,71.43
568,2015,Great Britain,22,9,40.91
569,2015,Hungary,35,16,45.71
570,2015,Belgium,30,21,70.0
571,2015,Italy,33,19,57.58
572,2015,Singapore,15,11,73.33
573,2015,Japan,37,23,62.16
574,2015,Russia,31,16,51.61
575,2015,USA,63,44,69.84
576,2015,Mexico,33,18,54.55
577,2015,Brazil,38,31,81.58
578,2015,Abu Dhabi,31,24,77.42
579,2015,Season,629,405,64.39
580,2016,Australia,37,17,45.95
581,2016,Bahrain,90,57,63.33
582,2016,China,170,91,53.53
583,2016,Russia,31,22,70.97
584,2016,Spain,54,15,27.78
585,2016,Monaco,14,7,50.0
586,2016,Canada,33,13,39.39
587,2016,Europe,80,46,57.5
588,2016,Austria,78,47,60.26
589,2016,Great Britain,16,8,50.0
590,2016,Hungary,12,3,25.0
591,2016,Germany,58,27,46.55
592,2016,Belgium,50,30,60.0
593,2016,Italy,49,25,51.02
594,2016,Singapore,40,20,50.0
595,2016,Malaysia,44,28,63.64
596,2016,Japan,50,25,50.0
597,2016,USA,57,25,43.86
598,2016,Mexico,26,12,46.15
599,2016,Brazil,65,25,38.46
600,2016,Abu Dhabi,43,22,51.16
601,2016,Season,1097,565,51.5
602,2017,Australia,2,2,100.0
603,2017,China,36,20,55.56
604,2017,Bahrain,38,28,73.68
605,2017,Russia,0,0,0.0
606,2017,Spain,20,13,65.0
607,2017,Monaco,3,1,33.33
608,2017,Canada,34,20,58.82
609,2017,Azerbaijan,48,35,72.92
610,2017,Austria,13,6,46.15
611,2017,Great Britain,39,20,51.28
612,2017,Hungary,9,2,22.22
613,2017,Belgium,42,23,54.76
614,2017,Italy,38,22,57.89
615,2017,Singapore,16,11,68.75
616,2017,Malaysia,33,21,63.64
617,2017,Japan,19,16,84.21
618,2017,USA,44,14,31.82
619,2017,Mexico,26,23,88.46
620,2017,Brazil,37,28,75.68
621,2017,Abu Dhabi,12,9,75.0
622,2017,Season,509,314,61.69
623,2018,Australia,5,3,60.0
624,2018,Bahrain,62,37,59.68
625,2018,China,53,24,45.28
626,2018,Azerbaijan,58,32,55.17
627,2018,Spain,13,9,69.23
628,2018,Monaco,4,3,75.0
629,2018,Canada,15,6,40.0
630,2018,France,52,35,67.31
631,2018,Austria,30,16,53.33
632,2018,Great Britain,33,20,60.61
633,2018,Germany,66,45,68.18
634,2018,Hungary,21,17,80.95
635,2018,Belgium,30,19,63.33
636,2018,Italy,44,24,54.55
637,2018,Singapore,13,9,69.23
638,2018,Russia,33,14,42.42
639,2018,Japan,60,43,71.67
640,2018,USA,31,11,35.48
641,2018,Mexico,36,14,38.89
642,2018,Brazil,52,30,57.69
643,2018,Abu Dhabi,38,26,68.42
644,2018,Season,749,437,58.34
645,2019,Australia,12,9,75.0
646,2019,Bahrain,73,35,47.95
647,2019,China,40,17,42.5
648,2019,Azerbaijan,62,31,50.0
649,2019,Spain,26,9,34.62
650,2019,Monaco,2,2,100.0
651,2019,Canada,30,12,40.0
652,2019,France,28,21,75.0
653,2019,Austria,50,19,38.0
654,2019,Great Britain,33,11,33.33
655,2019,Germany,94,39,41.49
656,2019,Hungary,31,18,58.06
657,2019,Belgium,63,35,55.56
658,2019,Italy,45,13,28.89
659,2019,Singapore,59,45,76.27
660,2019,Russia,28,14,50.0
