ID,Team,Delta,Year,Session,Track
147,McLaren,0.3143409830299833,2023,15,Singapore
148,McLaren,0.6537124340380526,2023,16,Suzuka
149,McLaren,0.3533147126930697,2023,17,Qatar
150,McLaren,0.1425283473046306,2023,18,COTA
151,McLaren,0.5922297384858616,2023,19,Mexico
152,McLaren,0.0,2023,20,Brazil
153,McLaren,2.1320880874835537,2023,21,Vegas
154,McLaren,0.4038588291689136,2023,22,Abu Dhabi
155,Alfa Romeo,1.9340527043296023,2023,1,Bahrain
156,Alfa Romeo,1.3550104798051323,2023,2,Jeddah
157,Alfa Romeo,2.356252932283793,2023,3,Australia
158,Alfa Romeo,2.051834775405926,2023,4,Baku
159,Alfa Romeo,0.863915958255581,2023,5,Miami
160,Alfa Romeo,1.7655713585090729,2023,6,Monaco
161,Alfa Romeo,1.7281934912552577,2023,7,Spain
162,Alfa Romeo,,2023,8,Montreal
163,Alfa Romeo,1.7424795390660184,2023,9,Austria
164,Alfa Romeo,3.5493542435424352,2023,10,Silverstone
165,Alfa Romeo,0.4725293372841311,2023,11,Budapest
166,Alfa Romeo,,2023,12,Spa
167,Alfa Romeo,,2023,13,Zandvoort
168,Alfa Romeo,2.0499663735771043,2023,14,Monza
169,Alfa Romeo,2.005847181922096,2023,15,Singapore
170,Alfa Romeo,2.4438268618427714,2023,16,Suzuka
171,Alfa Romeo,1.5278474062403018,2023,17,Qatar
172,Alfa Romeo,1.0346502248780591,2023,18,COTA
173,Alfa Romeo,1.101521395433222,2023,19,Mexico
174,Alfa Romeo,1.333885548621128,2023,20,Brazil
175,Alfa Romeo,0.861678493626383,2023,21,Vegas
176,Alfa Romeo,1.609443345916472,2023,22,Abu Dhabi
177,AlphaTauri,1.886119409640166,2023,1,Bahrain
178,AlphaTauri,1.8965614909647088,2023,2,Jeddah
179,AlphaTauri,1.7815253088672265,2023,3,Australia
180,AlphaTauri,1.3632326377453767,2023,4,Baku
181,AlphaTauri,1.7405026838989104,2023,5,Miami
182,AlphaTauri,1.0046941778182583,2023,6,Monaco
183,AlphaTauri,1.444542838166925,2023,7,Spain
184,AlphaTauri,,2023,8,Montreal
185,AlphaTauri,2.163345809196937,2023,9,Austria
186,AlphaTauri,3.811116236162362,2023,10,Silverstone
187,AlphaTauri,1.818324217781201,2023,11,Budapest
188,AlphaTauri,,2023,12,Spa
189,AlphaTauri,,2023,13,Zandvoort
190,AlphaTauri,1.6190499912820386,2023,14,Monza
191,AlphaTauri,1.1067880066824936,2023,15,Singapore
192,AlphaTauri,1.4930746987409569,2023,16,Suzuka
193,AlphaTauri,1.817899687268734,2023,17,Qatar
194,AlphaTauri,1.0335944593424693,2023,18,COTA
195,AlphaTauri,0.2799160251924422,2023,19,Mexico
196,AlphaTauri,1.1653646763113923,2023,20,Brazil
197,AlphaTauri,1.7061018484567436,2023,21,Vegas
198,AlphaTauri,0.62676014141051,2023,22,Abu Dhabi
199,Williams,1.9541178044321577,2023,1,Bahrain
200,Williams,1.6495779754149436,2023,2,Jeddah
201,Williams,1.1429390606265963,2023,3,Australia
202,Williams,1.6117281917707054,2023,4,Baku
203,Williams,1.1300020733982998,2023,5,Miami
204,Williams,1.628249141736145,2023,6,Monaco
205,Williams,2.478138144786363,2023,7,Spain
206,Williams,,2023,8,Montreal
207,Williams,1.473808451491668,2023,9,Austria
