resultId,raceId,driverId,constructorId,driverCurrentNumber,grid,positionOrder,positionText,position,points,laps,totalRaceTime,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24715,1035,832,1,55.0,12,13.0,13,13,0.0,52,+1:14.070,4856063.0,49.0,9.0,1:30.556,234.193,1
24716,1035,817,4,3.0,5,14.0,14,14,0.0,51,,,39.0,16.0,1:31.168,232.621,11
24717,1035,8,51,7.0,20,15.0,15,15,0.0,51,,,30.0,18.0,1:31.756,231.13,11
24718,1035,154,210,8.0,13,16.0,16,16,0.0,51,,,51.0,14.0,1:30.793,233.581,11
24719,1035,841,51,99.0,19,17.0,17,17,0.0,51,,,37.0,19.0,1:31.826,230.954,11
24720,1035,847,3,63.0,15,18.0,18,18,0.0,51,,,50.0,17.0,1:31.408,232.01,11
24721,1035,849,3,6.0,18,19.0,19,19,0.0,51,,,48.0,5.0,1:29.950,235.77,11
24722,1035,825,210,20.0,17,,R,20,0.0,43,,,39.0,20.0,1:31.830,230.944,31
24723,1036,1,131,44.0,1,1.0,1,1,25.0,66,1:31:45.279,5505279.0,63.0,2.0,1:19.822,209.942,1
24724,1036,830,9,33.0,3,2.0,2,2,18.0,66,+24.177,5529456.0,53.0,4.0,1:21.477,205.677,1
24725,1036,822,131,77.0,2,3.0,3,3,16.0,66,+44.752,5550031.0,66.0,1.0,1:18.183,214.343,1
24726,1036,840,211,18.0,5,4.0,4,4,12.0,65,,,56.0,8.0,1:22.024,204.306,11
24727,1036,815,211,11.0,4,5.0,5,5,10.0,65,,,58.0,16.0,1:22.515,203.09,11
24728,1036,832,1,55.0,7,6.0,6,6,8.0,65,,,59.0,5.0,1:21.771,204.938,11
24729,1036,20,6,5.0,11,7.0,7,7,6.0,65,,,48.0,18.0,1:22.707,202.618,11
24730,1036,848,9,23.0,6,8.0,8,8,4.0,65,,,41.0,11.0,1:22.194,203.883,11
24731,1036,842,213,10.0,10,9.0,9,9,2.0,65,,,44.0,17.0,1:22.543,203.021,11
24732,1036,846,1,4.0,8,10.0,10,10,1.0,65,,,56.0,13.0,1:22.392,203.393,11
24733,1036,817,4,3.0,13,11.0,11,11,0.0,65,,,51.0,14.0,1:22.464,203.215,11
24734,1036,826,213,26.0,12,12.0,12,12,0.0,65,,,47.0,12.0,1:22.336,203.531,11
24735,1036,839,4,31.0,15,13.0,13,13,0.0,65,,,65.0,10.0,1:22.174,203.933,11
24736,1036,8,51,7.0,14,14.0,14,14,0.0,65,,,47.0,7.0,1:21.888,204.645,11
24737,1036,825,210,20.0,16,15.0,15,15,0.0,65,,,64.0,19.0,1:23.474,200.757,11
24738,1036,841,51,99.0,20,16.0,16,16,0.0,65,,,47.0,6.0,1:21.801,204.863,11
24739,1036,847,3,63.0,18,17.0,17,17,0.0,65,,,37.0,15.0,1:22.503,203.119,11
24740,1036,849,3,6.0,19,18.0,18,18,0.0,64,,,60.0,9.0,1:22.030,204.291,12
24741,1036,154,210,8.0,17,19.0,19,19,0.0,64,,,64.0,3.0,1:20.409,208.409,12
24742,1036,844,6,16.0,9,,R,20,0.0,38,,,35.0,20.0,1:23.968,199.576,40
24743,1037,1,131,44.0,1,1.0,1,1,25.0,44,1:24:08.761,5048761.0,28.0,2.0,1:47.758,233.99,1
24744,1037,822,131,77.0,2,2.0,2,2,18.0,44,+8.448,5057209.0,27.0,5.0,1:47.983,233.503,1
24745,1037,830,9,33.0,3,3.0,3,3,15.0,44,+15.455,5064216.0,27.0,8.0,1:48.305,232.809,1
24746,1037,817,4,3.0,4,4.0,4,4,13.0,44,+18.877,5067638.0,44.0,1.0,1:47.483,234.589,1
24747,1037,839,4,31.0,6,5.0,5,5,10.0,44,+40.650,5089411.0,44.0,10.0,1:48.540,232.305,1
24748,1037,848,9,23.0,5,6.0,6,6,8.0,44,+42.712,5091473.0,27.0,12.0,1:48.736,231.886,1
24749,1037,846,1,4.0,10,7.0,7,7,6.0,44,+43.774,5092535.0,39.0,11.0,1:48.552,232.279,1
24750,1037,842,213,10.0,12,8.0,8,8,4.0,44,+47.371,5096132.0,29.0,3.0,1:47.839,233.815,1
24751,1037,840,211,18.0,9,9.0,9,9,2.0,44,+52.603,5101364.0,34.0,13.0,1:49.136,231.036,1
24752,1037,815,211,11.0,8,10.0,10,10,1.0,44,+53.179,5101940.0,20.0,9.0,1:48.389,232.628,1
24753,1037,826,213,26.0,11,11.0,11,11,0.0,44,+1:10.200,5118961.0,28.0,15.0,1:49.832,229.572,1
24754,1037,8,51,7.0,16,12.0,12,12,0.0,44,+1:11.504,5120265.0,28.0,14.0,1:49.822,229.593,1
24755,1037,20,6,5.0,14,13.0,13,13,0.0,44,+1:12.894,5121655.0,31.0,16.0,1:49.958,229.309,1
24756,1037,844,6,16.0,13,14.0,14,14,0.0,44,+1:14.920,5123681.0,26.0,4.0,1:47.840,233.813,1
24757,1037,154,210,8.0,17,15.0,15,15,0.0,44,+1:16.793,5125554.0,28.0,17.0,1:50.018,229.184,1
24758,1037,849,3,6.0,19,16.0,16,16,0.0,44,+1:17.795,5126556.0,32.0,6.0,1:48.048,233.362,1
24759,1037,825,210,20.0,20,17.0,17,17,0.0,44,+1:25.540,5134301.0,37.0,7.0,1:48.083,233.287,1
24760,1037,841,51,99.0,18,,R,18,0.0,9,,,9.0,19.0,1:51.793,225.545,3
24761,1037,847,3,63.0,15,,R,19,0.0,9,,,5.0,18.0,1:51.754,225.624,138
24762,1037,832,1,55.0,7,,W,20,0.0,0,,,,0.0,,,43
24763,1038,842,213,10.0,10,1.0,1,1,25.0,53,1:47:06.056,6426056.0,34.0,6.0,1:24.037,248.162,1
24764,1038,832,1,55.0,3,2.0,2,2,18.0,53,+0.415,6426471.0,40.0,2.0,1:23.882,248.62,1
24765,1038,840,211,18.0,8,3.0,3,3,15.0,53,+3.358,6429414.0,42.0,3.0,1:23.897,248.576,1
